Iteration,MAE,RMSE,CVRMSE,WI,NSE
1,0.010670257874824582,0.03246578789913007,50.04792002880082,0.8272273024063636,0.9306216044471509
2,0.013053191575248976,0.03322431247780884,51.21723024457451,0.790564911784489,0.9273418453798147
3,0.01623412169051874,0.037593410388741165,57.95245144184602,0.745172976070879,0.9069758287863438
4,0.014157203180702125,0.04788958264785311,73.82460607514231,0.7735135969730158,0.8490425807859353
5,0.013427107625437038,0.03881620707218229,59.83746439192398,0.7900403834115829,0.9008258355866217
6,0.010877386807257609,0.03554364334615439,54.792615082913755,0.8221528773787596,0.9168434921521926
7,0.011977396452183271,0.03971889126558245,61.229005125908884,0.8047352973658993,0.896159542773203
8,0.0192957545662301,0.0430081185781321,66.29954233284491,0.7161181522717415,0.8782488009833469
9,0.012517054887400285,0.037286156331898926,57.47880125620624,0.792659024303072,0.9084902033508286
10,0.013708368718427733,0.03747271740409439,57.76639611300551,0.7779385888080795,0.9075721749078138
