Iteration,MAE,RMSE,CVRMSE,WI,NSE
1,0.048729707141096854,0.15680117990354897,112.77516723127033,0.5982311736283422,0.3911848273256435
2,0.056396617582777885,0.15963483543512783,114.81320021447996,0.563652122496985,0.3689814123174624
3,0.045927494313563834,0.15572444905805546,112.00075659712655,0.6151939580817518,0.39951740953310433
4,0.04418065259402758,0.15469166989983493,111.25795707002521,0.6219990709960801,0.40745591127528613
5,0.043820336881944894,0.15229425836304533,109.53368122497142,0.6295991288292219,0.4256800861441087
6,0.043350788395901015,0.15225758363801184,109.50730388360601,0.6337167566657884,0.42595666241170127
7,0.0510474652524406,0.15663358985901046,112.65463245397622,0.586735039339592,0.3924855424873558
8,0.05309990599384284,0.1585474429434311,114.031121468819,0.5729900324971418,0.37754881404933993
9,0.04635955799074616,0.15480753096434496,111.34128712489948,0.6184083674451972,0.40656797078388407
10,0.04463262350039371,0.15365105694171372,110.50952328625307,0.6175804449120734,0.4154012012659496
