Iteración,MAE,RMSE,CVRMSE,WI,NSE
1,0.0193,0.0336,51.7507,0.7072,0.9258
2,0.0112,0.0278,42.8464,0.8131,0.9492
3,0.0199,0.0354,54.6302,0.7125,0.9173
4,0.0143,0.0299,46.082,0.7685,0.9412
5,0.016,0.0323,49.8562,0.7626,0.9312
6,0.0173,0.0331,51.0989,0.7435,0.9277
7,0.0215,0.0353,54.4725,0.6952,0.9178
8,0.0142,0.0326,50.2117,0.7674,0.9302
9,0.0174,0.0328,50.5534,0.7388,0.9292
10,0.0218,0.0358,55.2245,0.6968,0.9155
