Iteración,MAE,RMSE,CVRMSE,WI,NSE
1,0.0373,0.1466,105.4601,0.6629,0.4676
2,0.0418,0.153,110.0483,0.6306,0.4203
3,0.0362,0.1466,105.4698,0.677,0.4675
4,0.0346,0.1487,106.9772,0.6661,0.4522
5,0.0377,0.1505,108.2363,0.6648,0.4392
6,0.0442,0.15,107.8609,0.6183,0.4431
7,0.0375,0.15,107.884,0.6591,0.4428
8,0.031,0.146,105.0126,0.6952,0.4721
9,0.0402,0.148,106.4395,0.6472,0.4577
10,0.0414,0.1487,106.9438,0.643,0.4525
