Iteración,MAE,RMSE,CVRMSE,WI,NSE
1,0.022,0.0706,50.8565,0.8056,0.8765
2,0.012,0.0653,47.028,0.8878,0.8944
3,0.0126,0.0643,46.3457,0.8771,0.8974
4,0.0146,0.0663,47.7874,0.8664,0.8909
5,0.0118,0.065,46.8352,0.8889,0.8952
6,0.0143,0.066,47.5813,0.865,0.8919
7,0.0146,0.0674,48.5951,0.8656,0.8872
8,0.0226,0.0963,69.4226,0.7801,0.7698
9,0.014,0.0695,50.0874,0.8741,0.8802
10,0.0235,0.072,51.8682,0.7926,0.8715
