Iteration,MAE,RMSE,CVRMSE,WI,NSE
1,0.027676876709803813,0.1172530427747025,179.94361511671028,0.48600225687663523,0.09854021212069919
2,0.029336371130770894,0.11844083332477856,181.76647037508374,0.4942293119345448,0.08018386424186641
3,0.02925825242375331,0.11769244544864814,180.61794905100018,0.5016648676531363,0.09177115903367639
4,0.02817427612893663,0.11767470012425503,180.59071600231206,0.5019708695907005,0.09204501858891678
5,0.028787947837949447,0.1177352406385675,180.68362513924032,0.49582061906486896,0.09111054072248459
6,0.03026324378021726,0.11646757813378056,178.7381935456435,0.4952746158431577,0.11057730983044856
7,0.027961646487535356,0.11770653260508684,180.63956805376813,0.48496638295123873,0.09155372574941745
8,0.031228543960790098,0.11789081343472191,180.9223765668483,0.5026621599375609,0.0887069800851078
9,0.028655118844851998,0.11716022661613197,179.8011738229136,0.4818946259997876,0.09996681763164472
10,0.03152367417197943,0.1182993893494686,181.5494018909621,0.49228471528881934,0.0823794713126943
