Iteration,MAE,RMSE,CVRMSE,WI,NSE
1,0.027394858973518246,0.11108249207238947,170.96631392776658,0.5487321420714036,0.1894521308333117
2,0.028664797039586635,0.11096783698953891,170.78984906348114,0.5369191560324323,0.19112450008251047
3,0.02524038176454189,0.10988026625337481,169.11597628273262,0.5434594606544744,0.20690201598897062
4,0.026385561468034745,0.0963967270942335,148.36355215421352,0.5747104769213037,0.389603524457081
5,0.03245898106287837,0.09889820314793983,152.21355706769754,0.5420982605573481,0.357513151915713
6,0.02800060575582449,0.10890557799974238,167.61584016908085,0.5485915891512076,0.22090989529330796
7,0.02908928158868757,0.1083185592335179,166.71236354737863,0.5471775758378212,0.22928610430984098
8,0.02932543455608622,0.11114946838737214,171.0693967221784,0.5432157683772665,0.18847440924111214
9,0.02744690117227462,0.10973379422167524,168.89054216718483,0.526362826279557,0.20901502956384543
10,0.02979724435718908,0.1117519990132512,171.9967475423959,0.5396794168802599,0.17965215653300526
