Iteración,MAE,RMSE,CVRMSE,WI,NSE
1,0.0273,0.1038,159.8347,0.5599,0.2916
2,0.0335,0.1012,155.7466,0.5285,0.3273
3,0.0315,0.0982,151.1336,0.5357,0.3666
4,0.0277,0.0983,151.2235,0.5608,0.3658
5,0.0243,0.1063,163.6259,0.5722,0.2576
6,0.0297,0.111,170.8001,0.5393,0.191
7,0.0255,0.1068,164.3638,0.5281,0.2508
8,0.0288,0.0978,150.56,0.5494,0.3714
9,0.0276,0.1068,164.3517,0.5519,0.251
10,0.0265,0.1082,166.5446,0.55,0.2308
